place_id,distance_epicerie,cote_epicerie,distance_pharmacie,cote_pharmacie,distance_sante,cote_sante,distance_banque,cote_banque,distance_poste,cote_poste,distance_ecole,cote_ecole,distance_bibliotheque,cote_bibliotheque,distance_communautaire,cote_communautaire,cote_totale,distance_transport,acces_transport
23,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
24,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
25,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
26,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
27,920.49865145221,4,1214.818822614543,3,1725.7367257564943,3,2673.0537949372006,2,2656.2730146867684,2,1661.9136492222756,3,2426.8114701917016,2,963.013798282506,4,23,867.5885447122304,False
28,937.6667269273219,4,1231.986898089655,3,1742.9048012316061,3,2690.2218704123125,2,2673.4410901618803,2,1679.0817246973875,3,2443.9795456668135,2,980.1818737576178,4,23,884.7566201873423,False
29,1060.057935353752,3,1354.378106516085,3,1865.2960096580362,3,2812.6130788387427,2,2795.8322985883106,2,1801.4729331238175,3,2566.3707540932437,2,1102.573082184048,3,21,1007.1478286137724,False
30,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
31,937.6667269273219,4,1231.986898089655,3,1742.9048012316061,3,2690.2218704123125,2,2673.4410901618803,2,1679.0817246973875,3,2443.9795456668135,2,980.1818737576178,4,23,884.7566201873423,False
32,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
33,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
34,937.6667269273219,4,1231.986898089655,3,1742.9048012316061,3,2690.2218704123125,2,2673.4410901618803,2,1679.0817246973875,3,2443.9795456668135,2,980.1818737576178,4,23,884.7566201873423,False
35,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
36,869.8075931916112,4,1164.1277643539443,3,1675.0456674958955,3,2622.362736676602,2,2605.5819564261697,2,1611.2225909616768,3,2376.120411931103,2,912.3227400219072,4,23,816.8974864516316,False
37,922.4560366891288,4,1216.7762078514618,3,1727.694110993413,3,2675.0111801741195,2,2658.2303999236874,2,1663.8710344591943,3,2428.7688554286206,2,964.9711835194248,4,23,869.5459299491492,False
38,888.1017097748168,4,1182.42188093715,3,1693.3397840791013,3,2640.6568532598067,2,2623.8760730093745,2,1629.5167075448826,3,2394.4145285143077,2,930.6168566051127,4,23,835.1916030348372,False
39,920.49865145221,4,1214.818822614543,3,1725.7367257564943,3,2673.0537949372006,2,2656.2730146867684,2,1661.9136492222756,3,2426.8114701917016,2,963.013798282506,4,23,867.5885447122304,False
40,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
41,922.4560366891288,4,1216.7762078514618,3,1727.694110993413,3,2675.0111801741195,2,2658.2303999236874,2,1663.8710344591943,3,2428.7688554286206,2,964.9711835194248,4,23,869.5459299491492,False
42,376.5155499916715,4,670.8357211540047,4,1181.753624295956,3,2129.070693476662,2,2117.6438919099605,2,1117.9305477617372,3,2141.3601556067156,2,677.5624836975197,4,24,323.60544325169184,True
43,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
44,696.6548127066883,4,990.9749838690213,4,1501.8928870109726,3,2449.209956191679,2,2432.4291759412467,2,1438.069810476754,3,2202.96763144618,2,739.1699595369843,4,24,643.7447059667087,False
45,626.0020879979282,4,920.3222591602613,4,1431.2401623022124,3,2378.5572314829187,2,2361.7764512324866,2,1367.4170857679937,3,2132.3149067374197,2,668.5172348282242,4,24,573.0919812579486,False
46,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
47,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
48,937.6667269273219,4,1231.986898089655,3,1742.9048012316061,3,2690.2218704123125,2,2673.4410901618803,2,1679.0817246973875,3,2443.9795456668135,2,980.1818737576178,4,23,884.7566201873423,False
49,633.570854862916,4,927.8910260252491,4,1438.8089291672002,3,2386.1259983479067,2,2369.3452180974746,2,1374.9858526329815,3,2139.8836736024077,2,676.0860016932119,4,24,580.6607481229363,False
50,857.9495236314664,4,1152.2696947937993,3,1663.1875979357505,3,2610.504667116457,2,2593.7238868660247,2,1599.3645214015319,3,2364.262342370958,2,900.4646704617624,4,23,805.0394168914868,False
51,920.49865145221,4,1214.818822614543,3,1725.7367257564943,3,2673.0537949372006,2,2656.2730146867684,2,1661.9136492222756,3,2426.8114701917016,2,963.013798282506,4,23,867.5885447122304,False
52,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
53,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
54,857.9495236314664,4,1152.2696947937993,3,1663.1875979357505,3,2610.504667116457,2,2593.7238868660247,2,1599.3645214015319,3,2364.262342370958,2,900.4646704617624,4,23,805.0394168914868,False
55,937.6667269273219,4,1231.986898089655,3,1742.9048012316061,3,2690.2218704123125,2,2673.4410901618803,2,1679.0817246973875,3,2443.9795456668135,2,980.1818737576178,4,23,884.7566201873423,False
56,860.2965828151654,4,1154.6167539774983,3,1665.5346571194495,3,2612.8517263001554,2,2596.0709460497233,2,1601.7115805852309,3,2366.6094015546564,2,902.8117296454614,4,23,807.3864760751858,False
57,665.5457914414997,4,959.8659626038327,4,1470.783865745784,3,2418.10093492649,2,2401.320154676058,2,1406.9607892115653,3,2171.858610180991,2,708.0609382717956,4,24,612.6356847015201,False
58,781.2551493754703,4,1075.5753205378032,3,1586.4932236797545,3,2533.810292860461,2,2517.0295126100286,2,1522.6701471455358,3,2287.567968114962,2,823.7702962057663,4,23,728.3450426354907,False
