type,municipality,ad_id,mean_score_percent,mean_quality,n_points,latitude,longitude
adresse existante,Mont-Saint-Hilaire,2021S051224570198,76.2,Très bien,257,45.537039,-73.186386
adresse existante,Otterburn Park,2021S051224570044,71.8,Très bien,250,45.547326,-73.200664
adresse existante,Beloeil,2021S051224570059,70.7,Très bien,97,45.558605,-73.206467
adresse existante,McMasterville,2021S051224570068,60.6,Très bien,125,45.549528,-73.226633
site à implanter,Mont-Saint-Hilaire,2021S051224570231,96.0,Excellent,1,45.569052,-73.184756
site à implanter,Beloeil,2021S051224570059,72.1,Très bien,1,45.558605,-73.206467
site à implanter,Otterburn Park,2021S051224570052,44.5,Bien,1,45.535098,-73.219543
site à implanter,McMasterville,2021S051224570254,11.7,Insuffisant,1,45.54798,-73.241662
